task,prompt,t5 output,gpt likelihood
generation_0,Input: A family is going on a beach vacation. What do they pack in their suitcase? Output:,"A family is going on a beach vacation. They pack in their suitcase a few things: a beach towel, a beach umbrella, a beach towel, a beach towel, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach umbrella, a beach",-143.65641254838297
generation_426,Input: You just won the lottery. What do you do next? Output:,"If I won the lottery, I would spend my money on a new house, a new car, and a new car. I would also donate to charity and donate to charities that I care about.",-88.37758818025101
generation_169,Input: You are a detective who has been tasked with investigating a string of murders. Write a report on your findings. Output:,I have been tasked with investigating a string of murders. I have found that there have been a number of suspects in the case. I have also found that there have been a number of other crimes that have been committed in the area. I have also found that there have been a number of other crimes that have been committed in the area. I have also found that there have been a number of other crimes that have been committed in the area.,-67.10083440542921
generation_220,Input: You are a painter. Paint a picture of a sunset. Output:,I would paint a picture of a sunset. I would start by painting a sky with a few clouds in the background. I would then add some clouds to the sky and add some light to the sky. I would then add some clouds to the sky and add some light to the sky. I would then add some clouds to the sky and add some light to the sky.,-113.24908602785301
generation_373,Input: You have $100 to spend. What do you buy? Output:,I would buy a new pair of jeans.,-15.9961407991
generation_81,"Input: Have a conversation between two people, with each piece of dialogue being one word longer than the last. Output:","I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm",-31.65589387374503
generation_252,Input: You are an alien from a faraway planet. Describe your home world. Output:,I am from a planet called Earth. It is a very small planet with a population of about a million people. The planet is surrounded by a vast ocean. The climate is very hot and humid. The people are very friendly and welcoming.,-88.09137066372132
generation_259,Input: You are an artist in a post-apocalyptic world. What kind of art do you make and why? Output:,I make art because I want to express my feelings and emotions. I want to show people that they are not alone and that they are not alone.,-61.048537163872
generation_405,Input: You have the power to control the weather. What kind of weather do you create? Output:,I would create a tropical weather.,-24.067241380099997
generation_365,"Input: You find a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? Output:","There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says ""do not open for 24 hours"". What's inside? There is a box on your doorstep with a note that says """,-89.61801054494923
generation_98,Input: Make a sculpture out of recycled materials. Output:,Make a sculpture out of recycled materials.,-7.732275364730001
generation_263,Input: You are an artist who has been asked to design a new building. What does it look like? Output:,"I would design a building that is modern and sleek, with a lot of natural light. The building would be a mix of different materials, including wood, glass, and metal. The building would be a mix of different sizes and shapes, with a lot of different materials.",-95.28705304245779
generation_185,Input: You are a fashion designer. Describe your latest collection. Output:,"I have a new collection that I am really excited about. It is a collection of dresses that are both casual and elegant. The dresses are made of a variety of fabrics and colors, and they are all designed to be comfortable and flattering. The dresses are also made of a variety of colors and patterns, and they are all designed to be flattering and comfortable.",-155.75562049405212
generation_130,Input: Write a short story from the perspective of an inanimate object. Output:,I was a sycamore tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a tree. I was a,-60.79323091241032
generation_216,Input: You are a musician. Write a song about your favorite color. Output:,I love the color blue I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love the way it makes me feel I love,-57.20783375575809
generation_234,Input: You are a professional athlete. What sport do you play? Output:,I play soccer.,-4.1279267747
generation_403,Input: You have the power to control fire. What do you do with it? Output:,I would use it to fight crime and to protect the environment.,-38.867808403000005
generation_255,Input: You are an alien visiting Earth for the first time. Describe your experience. Output:,"I would be amazed at the diversity of life on Earth. I would be amazed at the variety of plants and animals, the variety of climates, and the variety of weather patterns. I would be amazed at the variety of life forms on Earth.",-105.52537408088759
generation_213,Input: You are a musician. What kind of music do you play? Output:,"I play a variety of music, from rock to pop. I also play a lot of other instruments, including piano, guitar, and drums.",-69.0096388836938
generation_5,Input: Brainstorm a list of possible solutions to world hunger. Output:,1. Increase the production of food crops. 2. Reduce the use of fossil fuels. 3. Increase the use of renewable energy sources. 4. Reduce the use of pesticides. 5. Reduce the use of fertilizers. 6. Reduce the use of pesticides. 7. Reduce the use of pesticides. 8. Reduce the use of pesticides. 9. Reduce the use of fertilizers. 10. Reduce the use of pesticides.,-110.27068667519076
generation_339,Input: You can have any superpower. What do you choose and why? Output:,I choose the power of flight. I would love to be able to fly anywhere I want and see the world from a different perspective.,-20.402581003788242
openqa_15,Input: How do you make a grilled cheese sandwich? Output:,"There are many ways to make a grilled cheese sandwich. Some people like to use a ham and cheese sandwich, while others like to use a turkey and cheese sandwich.",-38.508303823344995
openqa_8,Input: How do you find the slope of a line? Output:,The slope of a line is determined by the angle between the point where the line starts and the point where the line ends.,-41.681875673142
openqa_71,Input: What is the capital of Qatar? Output:,The capital of Qatar is Doha.,-1.6250457968503
openqa_112,Input: Who is the current president of the United States? Output:,The current president of the United States is Barack Obama.,-3.645184857983
openqa_26,Input: How does the stock market work? Output:,The stock market works by buying and selling shares of stock. The stock market is a market where investors buy and sell shares of stock. The stock market is a market where investors buy and sell shares of stock.,-38.683561227784
openqa_7,Input: How do you find the area of a trapezoid? Output:,The area of a trapezoid is found by multiplying the length of the trapezoid by the length of the vertices.,-48.64800039371352
openqa_107,Input: When is the best time to plant tomatoes? Output:,The best time to plant tomatoes is in the spring.,-3.205989858534
openqa_110,"Input: Who gave the famous ""I have a dream"" speech? Output:","The famous ""I have a dream"" speech was given by John F. Kennedy in 1963.",-27.2782753973815
openqa_10,Input: How do you get to the city centre from here? Output:,There are a number of ways to get to the city centre from here. The easiest way is to take the train to the city centre station and then take the tram to the city centre.,-65.48147728692399
openqa_2,Input: How do plants get energy from the sun? Output:,The sun is the source of all energy for plants. Plants use the sun to grow and produce food.,-36.276716879
openqa_33,Input: How many members are there in the British Parliament? Output:,There are 270 members in the British Parliament.,-21.5800905448
openqa_52,"Input: What are the lyrics to the song ""Happy Birthday""? Output:","Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to you, Happy birthday to",-47.206673591242115
openqa_105,Input: When did the American Revolution take place? Output:,The American Revolution took place in 1776.,-2.19845775766
openqa_87,Input: What is the highest mountain in the world? Output:,The highest mountain in the world is Mount Everest.,-2.0172451467099997
openqa_86,Input: What is the highest mountain in North America? Output:,The highest mountain in North America is Mount Rainier.,-15.334661439265
openqa_17,Input: How do you make a paper airplane? Output:,"There are many different ways to make a paper airplane. Some people use a glue stick, while others use a paper cutter. Some people use a glue stick, while others use a paper cutter.",-65.40663185721996
openqa_57,Input: What are the three primary colors?> Output:,"The three primary colors are red, yellow, and blue.",-3.4121218833063
openqa_61,Input: What is the atomic number of carbon? Output:,The atomic number of carbon is 8.,-18.623609921956
openqa_38,Input: How many planets are in the solar system? Output:,There are eight planets in the solar system.,-3.236090806566
openqa_9,Input: How do you find the volume of a cylinder? Output:,The volume of a cylinder is determined by multiplying the length of the cylinder by the diameter.,-30.219426953400003
openqa_73,Input: What is the capital of Yemen? Output:,The capital of Yemen is Sanaa.,-7.035841355854999
openqa_16,Input: How do you make a origami crane? Output:,"There are many different ways to make an origami crane. Some people use paper, while others use a combination of paper and fabric. Some people use a combination of both. Some people use a combination of both.",-97.6252787875728
openqa_55,Input: What are the symptoms of the flu? Output:,"The symptoms of the flu include fever, chills, headache, body aches, and muscle aches.",-19.083251230553703
openqa_18,Input: How do you make a perfect scrambled egg? Output:,"There are a few things you can do to make a perfect scrambled egg: 1. Heat a pan over medium heat. 2. Add a tablespoon of butter to the pan. 3. Add a tablespoon of flour to the pan. 4. Add a tablespoon of milk to the pan. 5. Cook the eggs for a few minutes, until they are cooked through.",-97.475741294078
rewrite_57,Input: Rewrite this letter of complaint to be more constructive. Output:,I am writing to complain about the service I received from the company I work for. I was not satisfied with the service I received from the company I work for. I was not satisfied with the quality of the service I received from the company I work for. I was not satisfied with the speed of the service I received from the company I work for. I was not satisfied with the quality of the service I received from the company I work for.,-84.68979940826256
rewrite_28,"Input: Given this piece of writing, make it more persuasive. Output:","The government should not be allowed to discriminate against people based on their race, religion, or gender. The government should not be allowed to discriminate against people based on their race, religion, or gender.",-47.83564524549601
rewrite_19,"Input: Given this essay, make it more persuasive. Output:",The United States is a great country. It is a great country because it is a great place to live. It is a great country because it is a great place to work. It is a great country because it is a great place to raise a family. It is a great country because it is a great place to travel. It is a great country because it is a great place to live.,-78.8132675975731
rewrite_55,Input: Rewrite this email to sound more friendly. Output:,I am writing to ask you to help me with a project. I am looking for a project that is both challenging and fun. I am looking for a project that is both challenging and fun.,-68.72686061890803
rewrite_12,"Input: Given this directions, make them more clear. Output:",. 1. Go to the store and buy a new pair of shoes. 2. Go to the store and buy a new pair of shoes. 3. Go to the store and buy a new pair of shoes.,-58.24401491033999
rewrite_4,"Input: Given this blog post about a new product, rewrite it to be more persuasive. Output:",The new product is a great way to save money on your energy bills. It is a great way to save money on your energy bills. It is a great way to save money on your energy bills.,-48.41603064097998
rewrite_25,"Input: Given this memo, make it more clear. Output:",I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to you to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I am writing to inform you that I,-77.15774336031009
rewrite_61,Input: Rewrite this post to be more positive. Output:,I am not a fan of the way the world is going. I am not a fan of the way the world is going. I am not a fan of the way the world is going.,-42.942675083485994
rewrite_41,"Input: Given this short story, rewrite it to be more suspenseful. Output:",The sun was shining and the sky was blue. The sky was clear and the sun was shining. The sun was shining and the sky was blue. The sun was shining and the sky was blue.,-48.38981450080399
